X_Value,Voltage_0,Voltage_1,Voltage_2,Voltage_3
1.065,0.026142,0.013633,1.286094,-0.000897
1.07,0.038892,0.003437,1.278445,0.004201
1.075,0.028692,0.005986,1.275895,-0.000897
1.08,0.038892,0.005986,1.270796,-0.000897
1.085,0.028692,0.005986,1.283544,-0.003445
1.09,0.041442,0.011084,1.278445,-0.000897
1.095,0.033792,0.000888,1.288644,-0.000897
1.1,0.031242,0.013633,1.265696,0.001652
1.105,0.033792,0.000888,1.270796,-0.000897
1.11,0.028692,0.011084,1.270796,-0.000897
1.115,0.033792,0.000888,1.265696,-0.000897
1.12,0.028692,0.011084,1.270796,0.001652
1.125,0.038892,0.000888,1.280995,0.004201
1.13,0.028692,0.011084,1.278445,-0.005994
1.135,0.041442,0.003437,1.275895,0.004201
1.14,0.028692,0.008535,1.273345,-0.000897
1.145,0.041442,0.005986,1.268246,-0.000897
1.15,0.028692,-0.001661,1.255497,-0.000897
1.155,0.038892,0.011084,1.255497,-0.000897
1.16,0.033792,0.000888,1.273345,-0.000897
1.165,0.028692,0.011084,1.275895,-0.000897
1.17,0.038892,0.000888,1.255497,0.004201
1.175,0.028692,0.005986,1.293743,-0.005994
1.18,0.038892,0.008535,1.283544,0.004201
1.185,0.033792,0.000888,1.296293,-0.000897
1.19,0.033792,0.005986,1.291194,-0.000897
1.195,0.041442,0.000888,1.291194,0.004201
1.2,0.026142,0.013633,1.293743,-0.008543
1.205,0.033792,0.005986,1.288644,0.004201
1.21,0.033792,0.003437,1.309042,-0.003445
1.215,0.033792,0.003437,1.280995,0.00675
1.22,0.031242,0.008535,1.296293,-0.000897
1.225,0.033792,0.005986,1.286094,-0.000897
1.23,0.033792,0.000888,1.303942,0.004201
1.235,0.026142,0.005986,1.296293,-0.005994
1.24,0.031242,0.011084,1.286094,0.001652
1.245,0.033792,0.000888,1.303942,0.004201
1.25,0.028692,0.005986,1.314141,-0.008543
1.255,0.033792,0.013633,1.309042,-0.000897
1.26,0.038892,0.005986,1.306492,0.004201
1.265,0.031242,0.005986,1.314141,-0.005994
1.27,0.028692,0.011084,1.309042,-0.000897
1.275,0.038892,0.000888,1.303942,0.004201
1.28,0.033792,0.005986,1.306492,-0.000897
1.285,0.026142,0.013633,1.303942,-0.000897
1.29,0.038892,0.000888,1.309042,0.004201
1.295,0.033792,0.005986,1.32179,-0.008543
1.3,0.033792,0.013633,1.311591,-0.003445
1.305,0.033792,0.005986,1.311591,0.004201
1.31,0.031242,0.003437,1.316691,-0.005994
1.315,0.041442,0.005986,1.316691,0.001652
1.32,0.033792,0.000888,1.32689,-0.000897
1.325,0.033792,0.013633,1.314141,-0.000897
1.33,0.033792,0.003437,1.32689,-0.000897
1.335,0.031242,0.005986,1.319241,-0.005994
1.34,0.038892,0.005986,1.319241,0.004201
1.345,0.026142,0.005986,1.311591,-0.005994
1.35,0.041442,0.005986,1.309042,-0.000897
1.355,0.028692,0.005986,1.303942,-0.000897
1.36,0.033792,0.008535,1.306492,-0.000897
1.365,0.033792,0.003437,1.314141,-0.003445
1.37,0.033792,0.013633,1.309042,-0.000897
1.375,0.033792,0.003437,1.319241,0.004201
1.38,0.026142,0.013633,1.306492,-0.005994
1.385,0.041442,0.005986,1.311591,0.004201
1.39,0.028692,0.005986,1.32434,-0.008543
1.395,0.033792,0.005986,1.309042,0.004201
1.4,0.033792,0.005986,1.319241,-0.005994
1.405,0.033792,0.005986,1.319241,0.004201
1.41,0.033792,0.000888,1.32944,-0.000897
1.415,0.033792,0.013633,1.319241,-0.000897
1.42,0.041442,0.003437,1.309042,-0.003445
1.425,0.026142,0.013633,1.319241,-0.000897
1.43,0.038892,0.005986,1.296293,0.004201
1.435,0.028692,0.005986,1.309042,-0.005994
1.44,0.033792,0.005986,1.296293,0.004201
1.445,0.033792,0.005986,1.311591,-0.003445
1.45,0.026142,0.013633,1.309042,-0.000897
1.455,0.038892,0.003437,1.301392,0.004201
1.46,0.033792,0.005986,1.303942,-0.005994
1.465,0.033792,0.011084,1.301392,-0.000897
1.47,0.036342,0.005986,1.303942,0.004201
1.475,0.033792,0.005986,1.303942,-0.008543
1.48,0.028692,0.011084,1.309042,-0.000897
1.485,0.038892,0.000888,1.309042,-0.000897
1.49,0.031242,0.008535,1.316691,-0.008543
1.495,0.031242,0.005986,1.306492,0.004201
1.5,0.033792,0.000888,1.306492,-0.000897
1.505,0.028692,0.005986,1.306492,-0.008543
1.51,0.038892,0.003437,1.316691,-0.000897
1.515,0.033792,0.000888,1.314141,-0.000897
1.52,0.028692,0.003437,1.306492,-0.005994
1.525,0.038892,0.005986,1.306492,0.004201
1.53,0.031242,0.003437,1.303942,0.001652
1.535,0.033792,0.005986,1.306492,-0.008543
1.54,0.036342,0.008535,1.303942,0.004201
1.545,0.031242,0.005986,1.309042,-0.000897
1.55,0.028692,0.013633,1.306492,-0.000897
1.555,0.038892,0.000888,1.301392,0.004201
1.56,0.033792,0.005986,1.309042,-0.000897
1.565,0.033792,0.005986,1.298843,0.004201
1.57,0.033792,0.005986,1.309042,-0.000897
1.575,0.026142,0.011084,1.296293,-0.000897
1.58,0.038892,0.000888,1.309042,0.004201
1.585,0.031242,0.005986,1.298843,-0.005994
1.59,0.041442,0.005986,1.309042,0.004201
1.595,0.033792,0.003437,1.309042,-0.008543
1.6,0.033792,0.005986,1.288644,0.004201
1.605,0.031242,0.005986,1.293743,-0.000897
1.61,0.038892,0.005986,1.283544,-0.000897
1.615,0.038892,0.000888,1.311591,-0.000897
1.62,0.033792,0.013633,1.298843,-0.000897
1.625,0.033792,0.000888,1.309042,0.004201
1.63,0.033792,0.003437,1.293743,-0.005994
1.635,0.038892,0.005986,1.306492,0.004201
1.64,0.033792,0.005986,1.301392,-0.008543
1.645,0.033792,0.008535,1.291194,0.004201
1.65,0.033792,0.003437,1.306492,-0.000897
1.655,0.028692,0.013633,1.301392,-0.000897
1.66,0.036342,0.003437,1.296293,0.004201
1.665,0.031242,0.005986,1.296293,-0.005994
1.67,0.028692,0.013633,1.301392,-0.000897
1.675,0.033792,0.000888,1.314141,0.004201
1.68,0.028692,0.005986,1.296293,-0.005994
1.685,0.038892,0.005986,1.301392,0.001652
1.69,0.033792,0.000888,1.311591,-0.000897
1.695,0.033792,0.011084,1.296293,-0.003445
1.7,0.031242,0.000888,1.309042,-0.000897
1.705,0.036342,0.005986,1.306492,-0.000897
1.71,0.038892,0.003437,1.291194,0.004201
1.715,0.033792,0.005986,1.309042,-0.005994
1.72,0.033792,0.005986,1.286094,-0.000897
1.725,0.041442,0.003437,1.306492,-0.000897
1.73,0.028692,0.005986,1.311591,-0.005994
1.735,0.038892,0.003437,1.316691,0.004201
1.74,0.028692,0.005986,1.314141,-0.000897
1.745,0.033792,0.013633,1.296293,-0.000897
1.75,0.033792,0.000888,1.32434,-0.000897
1.755,0.026142,0.005986,1.303942,-0.005994
